image,label,pixel_weight,image_weight
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_228_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_228_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_228_t2.nii.gz,0.10869821947674418
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_213_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_213_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_213_t2.nii.gz,0.11457163946969169
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_172_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_172_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_172_t2.nii.gz,0.11463013851281369
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_235_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_235_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_235_t2.nii.gz,0.11521592038743039
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_248_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_248_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_248_t2.nii.gz,0.11576979240161951
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_48_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_48_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_48_t2.nii.gz,0.11775594858022836
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_187_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_187_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_187_t2.nii.gz,0.11995350368439205
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_198_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_198_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_198_t2.nii.gz,0.12263306704434482
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_149_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_149_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_149_t2.nii.gz,0.12399636366889855
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_94_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_94_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_94_t2.nii.gz,0.12543874740600586
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_197_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_197_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_197_t2.nii.gz,0.1272809746560086
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_45_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_45_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_45_t2.nii.gz,0.1298427257132023
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_203_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_203_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_203_t2.nii.gz,0.13021588556974836
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_115_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_115_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_115_t2.nii.gz,0.13373737041766826
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_23_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_23_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_23_t2.nii.gz,0.13396075431336749
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_108_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_108_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_108_t2.nii.gz,0.13613178673482174
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_237_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_237_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_237_t2.nii.gz,0.1462545535143684
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_182_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_182_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_182_t2.nii.gz,0.14639330827272856
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_231_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_231_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1_cyc/vs_gk_231_t2.nii.gz,0.14813118306999531
